Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Emitter::EmitHeader",1,13.39,0.00,1.90,0.00,"vsc.exe",
"Emitter::BuildXSE",1,73.40,0.00,10.39,0.00,"vsc.exe",
"ICodeStream<ICodeNode>::AddICodeJumpTarget",2,0.00,0.00,0.00,0.00,"vsc.exe",
"__security_init_cookie",1,0.00,0.00,0.00,0.00,"vsc.exe",
"strrchr",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
"Emitter::EmitDirectives",1,0.00,0.00,0.00,0.00,"vsc.exe",
"DNode<OpList>::DNode<OpList>",41,0.00,0.00,0.00,0.00,"vsc.exe",
"ICodeStream<ICodeNode>::AddRegICodeOp",1,0.00,0.00,0.00,0.00,"vsc.exe",
"ICodeStream<ICodeNode>::AddJumpTargetICodeOp",1,0.00,0.00,0.00,0.00,"vsc.exe",
"Parser::Parser",1,0.00,0.00,0.00,0.00,"vsc.exe",
"__SEH_epilog4",1,0.00,0.00,0.00,0.00,"vsc.exe",
"DList<FuncNode>::Append",8,0.04,0.00,0.00,0.00,"vsc.exe",
"Compiler::VerifyFilenames",1,0.06,0.00,0.01,0.00,"vsc.exe",
"_RTC_Initialize",1,0.00,0.00,0.00,0.00,"vsc.exe",
"atexit",1,0.03,0.00,0.00,0.00,"vsc.exe",
"Compiler::getInstance",4,0.00,0.00,0.00,0.00,"vsc.exe",
"_RTC_Terminate",1,0.00,0.00,0.00,0.00,"vsc.exe",
"__atonexitinit",1,0.00,0.00,0.00,0.00,"vsc.exe",
"_onexit",1,0.03,0.00,0.00,0.00,"vsc.exe",
"Compiler::LoadSourceFile",1,3.51,0.00,0.50,0.00,"vsc.exe",
"DList<SymbolNode *>::Append",20,0.02,0.00,0.00,0.00,"vsc.exe",
"DNode<OpList>::InsertAfter",1,0.00,0.00,0.00,0.00,"vsc.exe",
"Emitter::EmitFunc",1,0.91,0.00,0.13,0.00,"vsc.exe",
"FunctionList::FunctionList",1,0.00,0.00,0.00,0.00,"vsc.exe",
"pre_cpp_init",1,0.28,0.00,0.04,0.00,"vsc.exe",
